Campaign,Keyword,Match Type,Group
UK | Search | Cast Iron Radiators | AI Max,how to,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,american,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,clow,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,sovereign,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,feet,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,radiator feet,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,gaskets,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,gasket,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,bushes,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,reducing bushes,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,wall ties,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,booster fan,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,fan,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,bench,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,bread warmer,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,warming oven,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,valve,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,valves,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,key,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,cover,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,covers,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,towel rail,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,car radiator,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,radiator paint,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,hydronic,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,steam,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,space heater,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,water heater,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,jobs,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,job,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,course,Phrase,"Parts, accessories & non-product"
UK | Search | Cast Iron Radiators | AI Max,training,Phrase,"Parts, accessories & non-product"
